div_and_fold,fold_growth,division_ratio,added_length,generationtime,length_birth,length_final,growth_rate,lineage_ID,generation,start_time,end_time
,1.1705608257416300,,3.983776880819100,0.75,1.791427584648780,5.775204465467890,1.5607477676555100,15.0,0.0,0.25,1.0
1.0098307934197000,0.7949838488963290,0.45602800205138700,3.1983243536988500,0.5000000000000000,2.6336549538255700,5.831979307524420,1.5899676977926600,15.0,1.0,1.0833333333333300,1.5833333333333300
0.8624824052034200,0.6078931989781990,0.46961891654577800,2.2911717365332200,0.41666666666666700,2.7388078037170100,5.029979540250230,1.458943677547680,15.0,2.0,1.6666666666666700,2.0833333333333300
1.426485953841600,1.0373697036568800,0.5055260753225660,4.632409346342100,0.833333333333333,2.5427858159355000,7.175195162277610,1.2448436443882600,15.0,3.0,2.166666666666670,3.0
0.7296014175480950,0.4901558965741010,0.44690340948284100,2.028413379855330,0.33333333333333300,3.206619181726650,5.235032561581980,1.4704676897223100,15.0,4.0,3.0833333333333300,3.4166666666666700
0.8879819511409760,0.6094640165060870,0.4827444385971710,2.121431573341310,0.4166666666666670,2.5271828549788000,4.648614428320110,1.462713639614610,15.0,5.0,3.5000000000000000,3.916666666666670
1.0413571182893600,0.7097570177175770,0.5121016011914100,2.460304833049540,0.5833333333333340,2.3805628920642200,4.8408677251137600,1.2167263160872700,15.0,6.0,4.0,4.583333333333330
0.9068434777689650,0.6292248668359890,0.48335191798885300,2.0500666235976200,0.5,2.3398426996640700,4.389909323261700,1.2584497336719800,15.0,7.0,4.666666666666670,5.166666666666670
1.2174214355894900,0.90776142744314,0.4911398411686190,3.188310342661560,0.5833333333333340,2.156059367771390,5.344369710432950,1.5561624470453800,15.0,8.0,5.25,5.833333333333330
1.1202000844088400,0.8770934171876810,0.4659923314804150,3.4963280990811,0.666666666666667,2.490435301657960,5.986763400739060,1.3156401257815200,15.0,9.0,5.916666666666670,6.583333333333330
0.9491655358786940,0.6632657308243470,0.48897799305272300,2.755033938866570,0.5,2.927395552574880,5.682429491441440,1.3265314616486900,15.0,10.0,6.666666666666670,7.166666666666670
0.908928888626588,0.5909713283085720,0.5033549224344900,2.30464546645085,0.4166666666666660,2.8602788559039700,5.1649243223548200,1.4183311879405700,15.0,11.0,7.25,7.666666666666670
1.068627522095730,0.7087448864182350,0.5260443517277230,2.802401013534120,0.583333333333333,2.71697926687589,5.519380280410010,1.2149912338598300,15.0,12.0,7.750000000000000,8.333333333333330
0.8867519140910240,0.5677879205830480,0.5025913083647010,2.1203284717562300,0.41666666666666800,2.7739925564936000,4.894321028249830,1.3626910093993100,15.0,13.0,8.416666666666670,8.833333333333330
0.9219293298463380,0.6972353175284430,0.4590840250113390,2.2653135082806400,0.5000000000000020,2.2469045973465600,4.5122181056272,1.3944706350568800,15.0,14.0,8.916666666666670,9.416666666666670
1.0170783420469000,0.6515877127223350,0.5301191077247090,2.197266273810950,0.5833333333333340,2.392013036014370,4.58927930982532,1.1170075075240000,15.0,15.0,9.5,10.083333333333300
0.9930247253711710,0.7409404750514850,0.47334054056287000,2.3849758769841700,0.6666666666666680,2.172291949306710,4.557267826290890,1.111410712577230,15.0,16.0,10.166666666666700,10.833333333333300
1.0942467506528100,0.8181043456959220,0.48285536665818600,2.7862742835501800,0.5833333333333360,2.2005012272232400,4.986775510773420,1.4024645926215800,15.0,17.0,10.916666666666700,11.500000000000000
0.934150362889637,0.7483859242146410,0.4419741910845960,2.4543720805435900,0.5,2.2040260724945600,4.658398153038150,1.4967718484292800,15.0,18.0,11.583333333333300,12.083333333333300
0.934903788950092,0.6936587367978540,0.46721282769576900,2.17869071009977,0.5,2.1764633736137000,4.3551540837134700,1.3873174735957100,15.0,19.0,12.166666666666700,12.666666666666700
1.1746658125768100,0.8262940338748840,0.514113952020246,2.87680513300746,0.5833333333333320,2.239045477635050,5.115850610642510,1.416504058071230,15.0,20.0,12.750000000000000,13.333333333333300
1.0367204959687200,0.8216530074188460,0.45585037611246100,2.9716447573706500,0.5833333333333340,2.3320624249965500,5.303707182367200,1.4085480127180200,15.0,21.0,13.416666666666700,14.000000000000000
1.0745858874498900,0.7480283414142160,0.5086002293613700,3.0018221999209100,0.5833333333333360,2.6974666894175000,5.699288889338410,1.2823342995672200,15.0,22.0,14.083333333333300,14.666666666666700
1.1884632077145900,0.9953965328587410,0.43922850779794200,4.270105000741730,0.7500000000000020,2.503290154373500,6.773395155115240,1.3271953771449900,15.0,23.0,14.75,15.500000000000000
0.9798655490792790,0.6189643857642770,0.5276593904353340,3.0629710040721700,0.4166666666666660,3.5740455587257500,6.637016562797920,1.4855145258342700,15.0,24.0,15.583333333333300,16.0
0.8703420165559770,0.6026609582517960,0.47638449873997400,2.6147025707835700,0.4166666666666640,3.1617718083973900,5.77647437918096,1.446386299804320,15.0,25.0,16.083333333333300,16.5
0.9733385459015870,0.6538586155913430,0.5061703872833190,2.698584899027570,0.41666666666666800,2.9238802736422000,5.6224651726697700,1.5692606774192200,15.0,26.0,16.583333333333300,17.0
1.1474864234297500,0.8067625086397810,0.5121239070875560,3.5723036201537900,0.5,2.8793988316913500,6.451702451845140,1.6135250172795600,15.0,27.0,17.083333333333300,17.583333333333300
0.8247933703392400,0.5018887693576410,0.49931847838899800,2.099867158409400,0.3333333333333360,3.221454251273890,5.321321409683290,1.5056663080729100,15.0,28.0,17.666666666666700,18.000000000000000
0.7392895103952480,0.3777233708765680,0.5067238765405540,1.2375564865875500,0.5000000000000040,2.6964406130329600,3.9339970996205100,0.7554467417531300,15.0,29.0,18.083333333333300,18.583333333333300
